"Line","Chapter","Subsection","Problem","Start"
"286","Chapter 1: Introduction to Vectors","Lengths and Dot Products","23","The figure shows that $\cos\alpha = v_1/\|\boldsymbol{v}\|$ and $\sin\alpha = v_2/\|\boldsymbol{v}\|$. Similarly $\cos\beta$ is \underline{\hspace{1cm}} and $\sin\beta$ is \underli..."
"291","Chapter 1: Introduction to Vectors","Lengths and Dot Products","24","One-line proof of the inequality $|\boldsymbol{u} \cdot \boldsymbol{U}| \le 1$ for unit vectors $(u_1, u_2)$ and $(U_1, U_2)$:"
"299","Chapter 1: Introduction to Vectors","Lengths and Dot Products","25","Why is $|\cos\theta|$ never greater than 1 in the first place?"
"301","Chapter 1: Introduction to Vectors","Lengths and Dot Products","26","(Recommended) Draw a parallelogram."
"303","Chapter 1: Introduction to Vectors","Lengths and Dot Products","27","Parallelogram with two sides $\boldsymbol{v}$ and $\boldsymbol{w}$. Show that the squared diagonal lengths $\|\boldsymbol{v} + \boldsymbol{w}\|^2 + \|\boldsymbol{v} - \boldsymbol{w..."
"305","Chapter 1: Introduction to Vectors","Lengths and Dot Products","28","If $\boldsymbol{v} = (1,2)$ draw all vectors $\boldsymbol{w} = (x,y)$ in the $xy$-plane with $\boldsymbol{v} \cdot \boldsymbol{w} = x + 2y = 5$. Why do those $\boldsymbol{w}$'s lie..."
"307","Chapter 1: Introduction to Vectors","Lengths and Dot Products","29","(Recommended) If $\|\boldsymbol{v}\| = 5$ and $\|\boldsymbol{w}\| = 3$, what are the smallest and largest possible values of $\|\boldsymbol{v} - \boldsymbol{w}\|$? What are the sma..."
"312","Chapter 1: Introduction to Vectors","Lengths and Dot Products","30","Can three vectors in the $xy$-plane have $\boldsymbol{u} \cdot \boldsymbol{v} < 0$ and $\boldsymbol{v} \cdot \boldsymbol{w} < 0$ and $\boldsymbol{u} \cdot \boldsymbol{w} < 0$? \\"
"315","Chapter 1: Introduction to Vectors","Lengths and Dot Products","31","Pick any numbers that add to $x + y + z = 0$. Find the angle between your vector $\boldsymbol{v} = (x, y, z)$ and the vector $\boldsymbol{w} = (z, x, y)$. Challenge question: Expla..."
"320","Chapter 1: Introduction to Vectors","Lengths and Dot Products","32","How could you prove $\sqrt[3]{xyz} \le \frac{1}{3}(x + y + z)$ (geometric mean $\le$ arithmetic mean)?"
"322","Chapter 1: Introduction to Vectors","Lengths and Dot Products","33","Find 4 perpendicular unit vectors of the form $\left(\pm \tfrac{1}{2}, \pm \tfrac{1}{2}, \pm \tfrac{1}{2}, \pm \tfrac{1}{2}\right)$: Choose $+$ or $-$."
"324","Chapter 1: Introduction to Vectors","Lengths and Dot Products","34","Using $\boldsymbol{v} = \texttt{randn}(3,1)$ in \textcolor{blue!60!white}{MATLAB}, create a random unit vector $\boldsymbol{u} = \boldsymbol{v}/\|\boldsymbol{v}\|$."
"332","Chapter 1: Introduction to Vectors","Matrices","1","Find the linear combination $3\boldsymbol{s}_1 + 4\boldsymbol{s}_2 + 5\boldsymbol{s}_3 = \boldsymbol{b}$. Then write $\boldsymbol{b}$ as a matrix-vector multiplication $S\boldsymbo..."
"340","Chapter 1: Introduction to Vectors","Matrices","2","Solve these equations $S\boldsymbol{y} = \boldsymbol{b}$ with $\boldsymbol{s}_1, \boldsymbol{s}_2, \boldsymbol{s}_3$ in the columns of $S$:"
"362","Chapter 1: Introduction to Vectors","Matrices","3","Solve these three equations for $y_1, y_2, y_3$ in terms of $c_1, c_2, c_3$:"
"376","Chapter 1: Introduction to Vectors","Matrices","4","Find a combination $x_1\boldsymbol{w}_1 + x_2\boldsymbol{w}_2 + x_3\boldsymbol{w}_3$ that gives the zero vector with $x_1 = 1$:"
"384","Chapter 1: Introduction to Vectors","Matrices","5","The rows of that matrix $W$ produce three vectors ($I$ write them as columns):"
"392","Chapter 1: Introduction to Vectors","Matrices","6","Which numbers $c$ give dependent columns so a combination of columns equals zero?"
"413","Chapter 1: Introduction to Vectors","Matrices","7","If the columns combine into $A\boldsymbol{x} = \boldsymbol{0}$, then each of the rows has $\boldsymbol{r} \cdot \boldsymbol{x} = 0$:"
"438","Chapter 1: Introduction to Vectors","Matrices","8","Moving to a $4 \times 4$ difference equation $A\boldsymbol{x} = \boldsymbol{b}$, find the four components $x_1, x_2, x_3, x_4$. Then write this solution as $\boldsymbol{x} = A^{-1}..."
"457","Chapter 1: Introduction to Vectors","Matrices","9","What is the cyclic $4$ by $4$ difference matrix $C$? It will have $1$ and $-1$ in each row and each column. Find all solutions $\boldsymbol{x} = (x_1, x_2, x_3, x_4)$ to $C\boldsym..."
"459","Chapter 1: Introduction to Vectors","Matrices","10","A forward difference matrix $\Delta$ is upper triangular:"
"482","Chapter 1: Introduction to Vectors","Matrices","11","Show that the forward differences $(t+1)^2 - t^2$ are $2t+1 =$ odd numbers. As in calculus, the difference $(t+1)^n - t^n$ will begin with the derivative of $t^n$, which is \underl..."
"484","Chapter 1: Introduction to Vectors","Matrices","12","The last lines of the Worked Example say that the $4 \times 4$ centered difference matrix in (16) is invertible. Solve $C\boldsymbol{x} = ( b_1, b_2, b_3, b_4) $ to find its invers..."
"488","Chapter 1: Introduction to Vectors","Matrices","13","The very last words say that the $5 \times 5$ centered difference matrix is \textbf{not invertible}. Write down the 5 equations $C\boldsymbol{x} = \boldsymbol{b}$. Find a combinati..."
"490","Chapter 1: Introduction to Vectors","Matrices","14","If $(a,b)$ is a multiple of $(c,d)$ with $abcd \ne 0$, show that $(a,c)$ is a multiple of $(b,d)$. This is surprisingly important: two columns are falling on one line. You could us..."
"506","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","1","With $A = I$ (the identity matrix) draw the planes in the row picture. Three sides of a box meet at the solution $\boldsymbol{x} = (x, y, z) = (2, 3, 4)$:"
"525","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","2","If the equations in Problem 1 are multiplied by $2, 3, 4$ they become $D\boldsymbol{x} = \boldsymbol{B}$:"
"546","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","3","If equation 1 is added to equation 2, which of these are changed: the planes in the row picture, the vectors in the column picture, the coefficient matrix, the solution? The new eq..."
"548","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","4","Find a point with $z = 2$ on the intersection line of the planes $x + y + 3z = 6$ and $x - y + z = 4$. Find the point with $z = 0$. Find a third point halfway between."
"550","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","5","The first of these equations plus the second equals the third:"
"560","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","6","Move the third plane in Problem 5 to a parallel plane $2x + 3y + 2z = 9$. Now the three equations have no solution—why not? The first two planes meet along the line $L$, but the th..."
"562","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","7","In Problem 5 the columns are $(1,1,2)$ and $(1,2,3)$ and $(1,1,2)$. This is a ``singular case'' because the third column is \underline{\hspace{3cm}}. Find two combinations of the c..."
"564","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","8","Normally 4 ``planes'' in 4-dimensional space meet at a \underline{\hspace{3cm}}. Normally 4 column vectors in 4-dimensional space can combine to produce $\boldsymbol{b}$. What comb..."
"571","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","9","Compute each $A\boldsymbol{x}$ by dot products of the rows with the column vector:"
"591","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","10","Compute each $A\boldsymbol{x}$ in Problem 9 as a combination of the columns:"
"602","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","11","Find the two components of $A\boldsymbol{x}$ by rows or by columns:"
"614","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","12","Multiply $A$ times $\boldsymbol{x}$ to find three components of $A\boldsymbol{x}$:"
"638","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","13",""
"644","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","14","Write $2x + 3y + z + 5t = 8$ as a matrix $A$ (how many rows?) multiplying the column vector $\boldsymbol{x} = (x, y, z, t)$ to produce $\boldsymbol{b}$. The solutions $\boldsymbol{..."
"650","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","15",""
"656","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","16",""
"662","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","17","Find the matrix $P$ that multiplies $(x, y, z)$ to give $(y, x, z)$. Find the matrix $Q$ that multiplies $(y, x, z)$ to bring back $(x, y, z)$."
"664","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","18","What $2 \times 2$ matrix $E$ subtracts the first component from the second component? \\"
"672","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","19","What $3 \times 3$ matrix $E$ multiplies $(x, y, z)$ to give $(x, y, z + x)$? What matrix $E^{-1}$ multiplies $(x, y, z)$ to give $(x, y, z - x)$? If you multiply $(3,4,5)$ by $E$ a..."
"674","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","20",""
"680","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","21","What $2 \times 2$ matrix $R$ rotates every vector through $45^\circ$? The vector $(1,0)$ goes to $(\sqrt{2}/2, \sqrt{2}/2)$. The vector $(0,1)$ goes to $(-\sqrt{2}/2, \sqrt{2}/2)$...."
"682","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","22","Write the dot product of $(1,4,5)$ and $(x, y, z)$ as a matrix multiplication $A\boldsymbol{x}$. The matrix $A$ has one row. The solutions to $A\boldsymbol{x} = 0$ lie on a \underl..."
"684","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","23","In \textcolor{blue!60!white}{MATLAB} notation, write the commands that define this matrix $A$ and the column vectors $\boldsymbol{x}$ and $\boldsymbol{b}$. What command would test ..."
"691","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","24","The \textcolor{blue!60!white}{MATLAB} commands \texttt{A = eye(3)} and \texttt{v = [3;5]'} produce the $3 \times 3$ identity matrix and the column vector $(3,4,5)$. What are the ou..."
"693","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","25","If you multiply the $4 \times 4$ all-ones matrix $A = \texttt{ones}(4)$ and the column vector $\boldsymbol{v} = \texttt{ones}(4,1)$, what is $A\boldsymbol{v}$? (Computer not needed..."
"695","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","26","Draw the row and column pictures for the equations $x - 2y = 0$, $x + y = 6$."
"697","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","27","For two linear equations in three unknowns $x, y, z$, the row picture will show (2 or 3) (lines or planes) in (2 or 3)-dimensional space. The column picture is in (2 or 3)-dimensio..."
"699","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","28","For four linear equations in two unknowns $x$ and $y$, the row picture shows four \underline{\hspace{3cm}}. The column picture is in \underline{\hspace{3cm}}-dimensional space. The..."
"701","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","29","Start with the vector $\boldsymbol{u}_0 = (1, 0)$. Multiply again and again by the same ``Markov matrix''"
"722","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","30","Continue Problem 29 from $\boldsymbol{u}_0 = (1,0)$ to $\boldsymbol{u}_7$, and also from $\boldsymbol{v}_0 = (0,1)$ to $\boldsymbol{v}_7$. What do you notice about $\boldsymbol{u}_..."
"744","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","31","Invent a $3 \times 3$ magic matrix $M_3$ with entries $1,2,\dots,9$. All rows and columns and diagonals add to 15. The first row could be $8,3,4$. What is $M_3$ times $(1,1,1)$? Wh..."
"746","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","32","Suppose $\boldsymbol{u}$ and $\boldsymbol{v}$ are the first two columns of a $3 \times 3$ matrix $A$. Which third columns $\boldsymbol{w}$ would make this matrix singular? Describe..."
"748","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","33","Multiplication by $A$ is a ``linear transformation''. Those words mean:"
"758","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","34","Start from the four equations $-x_{i+1} + 2x_i - x_{i-1} = i$ (for $i = 1,2,3,4$ with $x_0 = x_5 = 0$). Write those equations in their matrix form $A\boldsymbol{x} = \boldsymbol{b}..."
"760","Chapter 2: Solving Linear Equations ","Vectors and Linear Equations","35","A $9 \times 9$ Sudoku matrix $S$ has the numbers $1,\dots,9$ in every row and every column, and in every $3$ by $3$ block. For the all-ones vector $\boldsymbol{x} = (1,\dots,1)$, w..."
"769","Chapter 2: Solving Linear Equations ","The Idea of Elimination","1","What multiple $\ell_{21}$ of equation 1 should be subtracted from equation 2?"
"779","Chapter 2: Solving Linear Equations ","The Idea of Elimination","2","Solve the triangular system of Problem 1 by back substitution, $y$ before $x$."
"783","Chapter 2: Solving Linear Equations ","The Idea of Elimination","3","What multiple of equation 1 should be subtracted from equation 2?"
"793","Chapter 2: Solving Linear Equations ","The Idea of Elimination","4","What multiple $\ell$ of equation 1 should be subtracted from equation 2 to remove $c$?"
"802","Chapter 2: Solving Linear Equations ","The Idea of Elimination","5","Choose a right side which gives no solution and another right side which gives infinitely many solutions. What are two of those solutions?"
"813","Chapter 2: Solving Linear Equations ","The Idea of Elimination","6","Choose a coefficient $b$ that makes this system singular. Then choose a right side $g$ that makes it solvable. Find two solutions in that singular case."
"821","Chapter 2: Solving Linear Equations ","The Idea of Elimination","7","For which numbers $a$ does elimination break down (1) permanently (2) temporarily?"
"830","Chapter 2: Solving Linear Equations ","The Idea of Elimination","8","For which three numbers $k$ does elimination break down? Which is fixed by a row exchange? In each case, is the number of solutions $0$ or $1$ or $\infty$?"
"838","Chapter 2: Solving Linear Equations ","The Idea of Elimination","9","What test on $b_1$ and $b_2$ decides whether these two equations allow a solution? How many solutions will they have? Draw the column picture for $\boldsymbol{b} = (1,2)$ and $(1,0..."
"846","Chapter 2: Solving Linear Equations ","The Idea of Elimination","10","In the $xy$ plane, draw the lines $x+y=5$ and $x+2y=6$ and the equation $y = \underline{\hspace{2em}}$ that comes from elimination. The line $5x - 4y = c$ will go through the solut..."
"852","Chapter 2: Solving Linear Equations ","The Idea of Elimination","11","(Recommended) A system of linear equations can't have exactly two solutions. Why? \\"
"856","Chapter 2: Solving Linear Equations ","The Idea of Elimination","12","Reduce this system to upper triangular form by two row operations:"
"866","Chapter 2: Solving Linear Equations ","The Idea of Elimination","13","Apply elimination (circle the pivots) and back substitution to solve"
"876","Chapter 2: Solving Linear Equations ","The Idea of Elimination","14","Which number $d$ forces a row exchange, and what is the triangular system (not singular) for that $d$? Which $d$ makes this system singular (no third pivot)?"
"885","Chapter 2: Solving Linear Equations ","The Idea of Elimination","15","Which number $b$ leads later to a row exchange? Which $b$ leads to a missing pivot? In that singular case find a nonzero solution $x, y, z$."
"894","Chapter 2: Solving Linear Equations ","The Idea of Elimination","16",""
"900","Chapter 2: Solving Linear Equations ","The Idea of Elimination","17","If rows 1 and 2 are the same, how far can you get with elimination (allowing row exchange)? If columns 1 and 2 are the same, which pivot is missing?"
"927","Chapter 2: Solving Linear Equations ","The Idea of Elimination","18","Construct a $3 \times 3$ example that has 9 different coefficients on the left side, but rows 2 and 3 become zero in elimination. How many solutions to your system with $\boldsymbo..."
